Requirement ID,Test Case ID,Coverage Type,Coverage Layer
AC1-UI,TC-MAN-01,Positive,UI
AC1-UI,TC-MAN-02,Negative,UI
AC1-UI,TC-MAN-08,Negative,UI
AC1-UI,TC-UI-01,Positive,UI
AC1-UI,TC-UI-02,Positive,UI
AC1-UI,TC-UI-03,Negative,UI
AC1-UI,TC-UI-08,Negative,UI
AC1-UI,TC-API-01,Positive,API
AC1-UI,TC-API-01,Negative,API
AC1-UI,TC-API-02,Positive,API
AC1-UI,TC-API-08,Negative,API
AC2-UI,TC-MAN-03,Positive,UI
AC2-UI,TC-MAN-04,Positive,UI
AC2-UI,TC-MAN-05,Positive,UI
AC2-UI,TC-MAN-06,Positive,UI
AC2-UI,TC-MAN-07,Edge,UI
AC2-UI,TC-UI-04,Negative,UI
AC2-UI,TC-UI-05,Negative,UI
AC2-UI,TC-UI-06,Edge,UI
AC2-UI,TC-UI-07,Positive,UI
AC2-UI,TC-API-07,Positive,API
AC2-UI,TC-API-06,Negative,API
AC2-UI,TC-API-10,Negative,API
AC2-UI,TC-API-11,Negative,API
AC1-API,TC-API-01,Positive,API
AC1-API,TC-API-02,Positive,API
AC1-API,TC-API-07,Positive,API
AC1-API,TC-API-08,Negative,API
AC1-API,TC-API-09,Negative,API
AC1-API,TC-API-11,Negative,API
AC2-API,TC-API-07,Positive,API
AC2-API,TC-API-06,Negative,API
AC2-API,TC-API-10,Negative,API
AC2-API,TC-API-11,Negative,API
AUTH-R01,TC-MAN-01,Positive,UI
AUTH-R01,TC-UI-01,Positive,UI
AUTH-R01,TC-API-01,Positive,API
AUTH-R01,TC-API-11,Negative,API
AUTH-R02,TC-MAN-01,Positive,UI
AUTH-R02,TC-UI-02,Positive,UI
AUTH-R02,TC-API-02,Positive,API
AUTH-R03,TC-MAN-01,Positive,UI
AUTH-R03,TC-UI-02,Positive,UI
AUTH-R04,TC-API-02,Positive,API
AUTH-R04,TC-API-09,Negative,API
AUTH-R05,TC-MAN-02,Negative,UI
AUTH-R05,TC-UI-03,Negative,UI
AUTH-R05,TC-API-08,Negative,API
AUTH-R06,TC-MAN-08,Negative,UI
AUTH-R06,TC-UI-08,Negative,UI
AUTH-R06,TC-API-01,Negative,API
CART-R01,TC-MAN-04,Positive,UI
CART-R01,TC-MAN-06,Positive,UI
CART-R01,TC-UI-05,Positive,UI
CART-R01,TC-UI-07,Positive,UI
CART-R01,TC-API-07,Positive,API
CART-R01,TC-API-10,Negative,API
CART-R02,TC-MAN-04,Positive,UI
CART-R02,TC-UI-07,Positive,UI
CART-R02,TC-API-07,Positive,API
CART-R03,TC-MAN-04,Positive,UI
CART-R03,TC-UI-05,Positive,UI
CART-R03,TC-MAN-06,Positive,UI
CART-R03,TC-UI-07,Positive,UI
CART-R03,TC-API-07,Positive,API
CART-R03,TC-API-11,Negative,API
CART-R04,TC-API-07,Positive,API
CART-R05,TC-UI-07,Positive,UI
BRW-03,TC-MAN-03,Positive,UI
BRW-03,TC-UI-06,Positive,UI
CHK-R01,TC-MAN-05,Positive,UI
CHK-R01,TC-MAN-06,Positive,UI
CHK-R01,TC-UI-07,Positive,UI
CHK-R01,TC-API-07,Positive,API
CHK-R02,TC-API-11,Negative,API
CHK-R03,TC-MAN-06,Positive,UI
CHK-R03,TC-UI-07,Positive,UI
CHK-R03,TC-API-06,Negative,API
CHK-R03,TC-API-09,Negative,API
CHK-R04,TC-UI-05,Negative,UI
DCF-R01,TC-MAN-05,Positive,UI
DCF-R01,TC-MAN-06,Positive,UI
DCF-R01,TC-UI-07,Positive,UI
DCF-R01,TC-API-07,Positive,API
DCF-R02,TC-MAN-07,Edge,UI
DCF-R02,TC-UI-06,Edge,UI
DCF-R03,TC-UI-07,Positive,UI
INV-R01,TC-MAN-06,Positive,UI
INV-R01,TC-UI-07,Positive,UI
INV-R01,TC-API-07,Positive,API
INV-R02,TC-API-07,Positive,API
INV-R03,TC-MAN-06,Positive,UI
INV-R03,TC-UI-07,Positive,UI
INV-R03,TC-API-07,Positive,API
INV-R04,TC-MAN-06,Positive,UI
INV-R04,TC-UI-07,Positive,UI
INV-R04,TC-API-10,Negative,API
INV-R05,TC-API-06,Negative,API
